surface	path	methods	mutating_any	auth_expected
analytics	/analytics/supports_suspend_asl	GET	no	Usually none or Digest depending on endpoint; see observed statuses.
api	/api/	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/analytics/ppe_status	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/analytics/supports_suspend_asl	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/analytics/vfd_status	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/cgi-x/get-certs-detailed	GET	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/cgi-x/get-tpm-info	GET	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/cgi-x/mech-limit	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/cgi-x/position	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/dscp/settings	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/elevate/settings-connection	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/elevate/settings-health	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/illuminator/illuminator-ctrl	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/ip-filter/config	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/ir-ring	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/ir-ring/status	GET	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/ptz/port0/washer-configuration	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/ptz/port0/washer-configuration/default	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/ptz/positioncheck	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/ptz/powermode	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/radiometry/configs/0	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/radiometry/options/0	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/settings/network	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/settings/time	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/storage/config	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/storage/media	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/get/json/storage/status	GET	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/post/json/cgi-x/mech-limit	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/post/json/cgi-x/set-imaging-show-zones	POST	yes	Digest (often) + sometimes auth-token cookie (web session).
api	/api/post/json/elevate/settings-reference	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/post/json/illuminator/illuminator-ctrl	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/post/json/ptz/positioncheck	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/post/json/ptz/powermode	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/post/json/storage/config	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/post/json/storage/media	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/post/json/storage/recordings/delete-list	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/post/json/web/logout	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/post/text/cgi-x	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/put/json/dscp/settings	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/put/json/elevate/settings-connection	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/put/json/elevate/vfd-test	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/put/json/ip-filter/config	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/put/json/ir-ring/irLedRingEnabled	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
api	/api/put/json/ir-ring/ringHealthCheckEnabled	(any),GET,HEAD	no	Digest (often) + sometimes auth-token cookie (web session).
